식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
10012,명동정,,중구,모범음식점(2015),4.2138394,N,0.37,0.33,,,4.4
10014,봉추찜닭,명동중앙우체국점,중구,모범음식점(2019),4.4236489,Y,0.33,0.51,,4.7,4.45
10015,금계찜닭,명동점,중구,,,Y,0.082,,,,
10016,명동한우방,명동본점,중구,,3.92222,N,0.244,0.09,,,4.54
10018,삼호복집,,서대문구,모범음식점(2004),4.4000694,Y,0.307,0.33,4,,4.33
10019,대포찜닭,,서대문구,안심식당(2021),4.3543422,N,0.231,0.33,,,4.5
10020,카페 종로시장,,종로구,,4.4038159,N,0.331,0.33,,,4.52
10022,크랩회피쉬,장충동본점,중구,,4.4674318,N,0.274,0.33,,,4.42
10024,엔그릴,N서울타워점,용산구,모범음식점(2007),0.6689872,N,0.167,,,,4.69
10026,곰국시집,명동점,중구,모범음식점(2007),4.5907623,Y,0.447,0.33,,,4.15
10028,왕십리 이모네곱창,,중구,,4.3910419,N,0.298,0.33,,,4.44
10031,놀부보쌈놀부부대찌개,을지로6가점,중구,모범음식점(2015),4.4371796,N,0.327,0.33,,,4.38
10034,853,,종로구,,4.0006742,N,0.193,0.2,,,4.46
10035,지화자,청운점,종로구,블루리본(2021),4.5751827,N,0.324,0.59,5,4.6,4.74
10036,반짝반짝빛나는,,종로구,블루리본(2021),4.468003,Y,0.239,0.33,4,,4.44
10037,연타발,압구정본점,강남구,모범음식점(2010),4.5508072,Y,0.374,0.33,,,4.41
10038,부엉이돈가스,남산서울타워점,용산구,,4.6728419,N,0.232,0.33,4.5,,4.28
10040,박사네갈비,,종로구,,4.2178928,N,0.279,0.19,,,4.06
10043,폴인팬케이크,강남점,강남구,,4.2687784,N,0.278,0.33,,,4.37
10045,양연화로,종로직영점,종로구,,4.3831575,N,0.269,0.33,,,4.65
10050,오븐에빠진닭,명동점,중구,,3.9674662,N,0.253,0.33,,,4.35
10051,공룡슈퍼,혜화점,종로구,,,,0.029,,,,
10053,차돌박힌쭈꾸미,본점,종로구,,4.2000668,N,0.246,0.33,,,4.27
10054,옛날집,,마포구,,4.7418534,N,0.281,0.33,,,4.37
10055,한가람,2호점,중구,모범음식점(2019),4.3103534,N,0.361,0.33,,,4.51
10059,삼정집,,강서구,,4.2780684,N,0.294,0.33,,,4.37
10060,경복궁,,종로구,,0.7749254,N,0.17,,,,4.53
10061,진향족발,,종로구,,4.5074016,N,0.28,0.33,,,4.22
10064,잘빠진메밀,서촌본점,종로구,,4.7444405,N,0.305,0.33,4.5,,4.39
10065,연타발,선릉점,강남구,,4.2163478,N,0.31,0.33,,,4.44
10070,육대장,명동점,중구,,4.3139499,N,0.3,0.33,,,4.22
10071,순미네 행복게장,동대문점,중구,,4.3190549,N,0.241,0.33,,,4.35
10076,금성관나주곰탕,,중구,,0.7749254,N,0.11,,,,4.51
10078,하남돼지집,압구정로데오점,강남구,,4.5263283,N,0.28,0.33,,,4.11
10080,미쓰족발,,중구,,4.3817104,N,0.253,0.33,4,,4.3
10083,유아히어카페,명동본점,중구,,4.270109,N,0.253,0.33,,,4.35
10084,잘빠진메밀,익선점,종로구,,4.5531687,N,0.276,0.33,,,4.41
10085,연타발,서울역점,중구,,4.1933031,N,0.268,0.24,,,4.39
10086,일번지곱창,명동점,중구,,4.2345122,N,0.222,0.33,,,4.38
10087,연타발,시청점,중구,,4.1353977,N,0.218,0.21,,,4.47
10089,콩뼈숯뼈감자탕,명동점,중구,,0.1016405,,,,,,
10092,곰국시집,롯데월드몰점,송파구,,4.6169811,N,0.268,0.33,,,4.24
10754,63뷔페 파빌리온,,영등포구,블루리본(2021),4.3000975,N,0.518,0.67,4,,4.49
10755,슈치쿠,,영등포구,"모범음식점(2004),블루리본(2021),안심식당(2020)",4.3224182,N,0.518,0.38,5,,4.67
10757,워킹온더클라우드,,영등포구,"모범음식점(2004),블루리본(2021),안심식당(2020)",4.4540075,N,0.551,0.8,4,4.3,4.68
10758,백리향,,영등포구,"모범음식점(2004),블루리본(2021),안심식당(2020)",4.4131883,N,0.516,0.49,4.5,,4.6
10985,보돌미역,명동점,중구,,4.66868,Y,0.314,0.33,4,,4.39
10990,너비집,,중구,모범음식점(2015),4.3102707,Y,0.445,0.1,3.5,,4.36
10991,라온,명동1호점,중구,,0.7749254,N,0.082,,,,4.11
12266,둘레골,,종로구,모범음식점(2010),3.9225157,N,0.295,0.33,,,4.27
12267,뉘조,,종로구,"모범음식점(2007),블루리본(2021),안심식당(2020)",4.1048221,N,0.296,0.33,,,4.37
12268,양반댁,,종로구,"모범음식점(2007),안심식당(2020)",4.0943881,N,0.298,0.33,,,4.24
12269,조금,,종로구,블루리본(2021),4.0536933,N,0.216,0.33,,,4.1
12270,사동면옥,,종로구,모범음식점(2009),3.8290929,N,0.273,0.49,4,4.2,3.8
12271,하누소,인사점,종로구,안심식당(2020),3.7455285,N,0.216,0.33,4.5,,4.27
12272,소호정,송파점,송파구,모범음식점(2007),4.3074832,N,0.295,0.33,,,4.31
12273,라이스앤파스타,,송파구,모범음식점(2020),4.0448389,N,0.27,0.34,4.5,3,4.01
12274,매화반점,,광진구,"모범음식점(2017),블루리본(2021)",4.4680506,Y,0.46,0.33,,,4.15
12275,대박감자탕,목동직영점,강서구,"모범음식점(2009),안심식당(2020)",4.2096119,Y,0.278,0.23,,,4.38
12276,교동짬뽕,마천점,송파구,모범음식점(2016),3.9698207,Y,0.315,0.07,,,4.21
12277,경회루,,노원구,모범음식점(2015),4.3836841,N,0.328,0.33,,,4.23
12278,고구려,선유도점,영등포구,"모범음식점(2010),안심식당(2020)",4.0633382,Y,0.305,0.33,,,4.27
12279,너섬가,,영등포구,모범음식점(2010),4.2057589,Y,0.223,0.12,4,,4.47
12280,능이버섯백숙,본점,중랑구,"모범음식점(2011),안심식당(2020)",4.2144422,N,0.295,0.33,,,4.4
12281,오발탄,송파점,송파구,"모범음식점(2007),블루리본(2021)",4.0186217,N,0.294,0.02,4.5,,4.3
12282,오발탄,서초점,서초구,모범음식점(2003),4.0502278,N,0.262,0.01,4.5,,4.35
12283,마장동한우촌,,성동구,모범음식점(2008),4.5633185,Y,0.349,0.33,4.5,,4.09
12284,이춘복참치,발산역점,강서구,"모범음식점(2019),안심식당(2020)",4.2698792,N,0.327,0.33,,,4
12285,목란,,서대문구,"모범음식점(2014),블루리본(2021)",4.2386443,N,0.28,0.33,,,4.29
12286,기와집,,노원구,모범음식점(2020),4.1867064,Y,0.28,0.23,,,4.37
12287,참좋은스파스낵,,구로구,,0.1577147,Y,0.211,,,,
12288,동해도,본점,영등포구,모범음식점(2004),4.3432036,N,0.303,0.43,4,,4.23
12289,충무로 부산복집,,송파구,모범음식점(2007),3.374693,N,0.314,,,,4.09
12290,황토추어탕,본점,강동구,"모범음식점(2008),안심식당(2020)",4.1257978,Y,0.265,0.16,,,4.4
12291,타오,,구로구,"모범음식점(2009),안심식당(2020)",3.8721408,N,0.328,0.33,4,,4.14
12292,가마솥손두부,사당본점,동작구,모범음식점(2007),4.3384186,N,0.298,0.33,,,4.4
12293,태능식당,,마포구,,0.0186212,,0.029,,,,
12294,우담,,강남구,,,,0.029,,,,
12295,굴다리전주콩나물국밥,,광진구,모범음식점(2018),3.9766839,Y,0.316,0.13,5,,4.31
12297,육백더육백,,성동구,모범음식점(2014),4.0389067,Y,0.279,0.04,,,4.37
12298,고운님 한우곱창,,강남구,모범음식점(2019),4.1880544,N,0.312,0.33,,,4.41
12299,장수닭한마리손칼국수,중곡본점,광진구,모범음식점(2013),4.048827,Y,0.28,0.06,,,4.41
12300,오복순대국,,양천구,모범음식점(2018),4.3725162,N,0.328,0.26,,,4.31
12301,한우설렁탕,,성북구,"모범음식점(2009),안심식당(2020)",4.090851,N,0.263,0.26,,,4.4
